date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-03-19,UEFA Euro qualification,LUXEMBOURG,BELGIUM,0,5,852.7574272571178,1326.2979189249409,850.9135913891118,1329.0636727269498
1967-03-22,Friendly,FRANCE,ROMANIA,1,2,1290.2570767032917,1276.3013892166166,1281.5198493908943,1289.4072301852127
1967-03-22,Friendly,GERMANY,BULGARIA,1,0,1576.5446451130304,1320.8652231988076,1581.2486736959545,1317.7292041435248
1967-03-22,Friendly,ALGERIA,HUNGARY,0,1,922.420440343526,1517.951389917771,921.8924643190716,1518.7433539544527
1967-03-22,UEFA Euro qualification,CYPRUS,ITALY,0,2,804.9523062870456,1474.4488996285074,804.4043407532168,1475.2708479292505
1967-03-22,AFC Asian Cup qualification,HONG KONG,VIETNAM REPUBLIC,2,0,846.8318336789123,1048.986104425174,877.007160390392,1028.8692199508541
1967-03-24,AFC Asian Cup qualification,THAILAND,VIETNAM REPUBLIC,0,1,875.8343854902749,1028.8692199508541,868.4512097003208,1039.9439836357853
1967-03-24,African Cup of Nations qualification,EGYPT,LIBYA,3,2,1065.5129073322996,885.7569087624644,1075.4226524896867,879.150411990873
1967-03-27,Friendly,ITALY,PORTUGAL,1,1,1475.2708479292505,1512.8226659133693,1476.562814813198,1511.9613546574042
1967-03-28,Friendly,GABON,IVORY COAST,0,3,802.815972113237,977.2624971961087,797.8826110367057,984.6625388109055
1967-03-29,AFC Asian Cup qualification,VIETNAM REPUBLIC,MALAYSIA,0,2,1039.9439836357853,887.4168302243373,1021.2947305894991,915.3907097937667
1967-04-02,African Cup of Nations qualification,GUINEA,LIBERIA,3,0,883.0030782690758,792.9692112731346,898.4558481223809,782.6673647042646
1967-04-02,African Cup of Nations qualification,SUDAN,DR CONGO,1,0,959.2144897222564,953.0888919510745,977.7813004688669,940.7110181200009
1967-04-02,African Cup of Nations qualification,TOGO,NIGER,1,0,818.1597939635512,772.8144824497388,834.6069849777923,761.8496884402447
1967-04-02,AFC Asian Cup qualification,VIETNAM REPUBLIC,SINGAPORE,3,0,1021.2947305894991,896.5684714009736,1034.8672031368944,887.5201563693767
1967-04-05,UEFA Euro qualification,GERMAN DR,NETHERLANDS,4,3,1256.3700767062958,1248.7113833019032,1274.8535221833329,1236.3890863172119
1967-04-06,Muratti Vase,JERSEY,ALDERNEY,3,1,1195.433968786609,612.0932893519665,1196.76590904164,611.2053291819459
1967-04-08,UEFA Euro qualification,GERMANY,ALBANIA,6,0,1581.2486736959545,927.6394971410598,1582.310983733052,926.9312904496616
1967-04-09,African Cup of Nations qualification,LIBERIA,SENEGAL,1,1,782.6673647042646,936.3282800341103,790.1468264312985,931.3419722160878
1967-04-09,African Cup of Nations qualification,ALGERIA,BURKINA FASO,3,1,921.8924643190716,792.5393682479109,934.6434867927944,784.0386865987623
1967-04-12,British Home Championship,NORTHERN IRELAND,WALES,0,0,1279.4590620527126,1283.086006386704,1279.6469605562727,1282.9607407176638
1967-04-15,British Home Championship,ENGLAND,SCOTLAND,2,3,1664.9652426167459,1389.438715758024,1644.0477106040034,1420.8150137771377
1967-04-15,African Cup of Nations qualification,NIGERIA,TOGO,4,2,895.8753148260803,834.6069849777923,912.2194439080835,823.7108989231235
1967-04-16,Friendly,BELGIUM,NETHERLANDS,1,0,1329.0636727269498,1236.3890863172119,1338.3802667402877,1230.1780236416532
1967-04-16,UEFA Euro qualification,LUXEMBOURG,POLAND,0,0,850.9135913891118,1232.2625898296967,865.3070955597333,1222.6669203826157
1967-04-19,Friendly,CONGO,DR CONGO,3,1,929.1294699101509,940.7110181200009,942.7693207586311,931.617784221014
1967-04-23,Friendly,HUNGARY,YUGOSLAVIA,1,0,1518.7433539544527,1369.7921058294892,1526.249831395929,1364.7877875351714
1967-04-23,UEFA Euro qualification,ROMANIA,CYPRUS,7,0,1289.4072301852127,804.4043407532168,1292.2145314132733,802.5328066011764
1967-04-30,African Cup of Nations qualification,IVORY COAST,TOGO,3,0,984.6625388109055,823.7108989231235,996.4049394571118,815.8826318256527
1967-05-03,Friendly,SWITZERLAND,CZECHOSLOVAKIA,1,2,1200.479524671398,1412.9290593331468,1196.6589300492014,1418.6599512664416
1967-05-03,UEFA Euro qualification,YUGOSLAVIA,GERMANY,1,0,1364.7877875351714,1582.310983733052,1394.183874749742,1562.7135922566715
1967-05-07,African Cup of Nations qualification,IVORY COAST,NIGERIA,2,0,996.4049394571118,912.2194439080835,1011.4990329013118,902.1567149452835
1967-05-09,Muratti Vase,GUERNSEY,JERSEY,1,3,1072.8527944265868,1196.76590904164,1064.1706316903176,1209.7891531460439
1967-05-10,UEFA Euro qualification,FINLAND,GREECE,1,1,1079.1339095940311,1029.115086031418,1077.4181579194,1031.6887135433644
1967-05-10,UEFA Euro qualification,HUNGARY,NETHERLANDS,2,1,1526.249831395929,1230.1780236416532,1532.0672916964277,1226.2997167746541
1967-05-10,Friendly,SCOTLAND,RUSSIA,0,2,1420.8150137771377,1511.4671823697015,1414.2603680002671,1521.2991510350073
1967-05-14,UEFA Euro qualification,ALBANIA,YUGOSLAVIA,0,2,926.9312904496616,1394.183874749742,925.2527107825485,1396.7017442504116
1967-05-14,Friendly,SURINAME,FRENCH GUIANA,6,1,1017.7554688006993,779.8397161581469,1023.8362302759127,775.7858751746712
1967-05-15,Friendly,SURINAME,FRENCH GUIANA,3,0,1023.8362302759127,775.7858751746712,1029.1748223775544,772.2268137735767
1967-05-16,Friendly,ISRAEL,SCOTLAND,1,2,1033.1885610920363,1414.2603680002671,1031.503111682345,1416.7885421148042
1967-05-17,Friendly,CONGO,TANZANIA,6,1,942.7693207586311,857.6724097895152,954.1671370302913,850.0738656084085
1967-05-17,Friendly,SWEDEN,GERMAN DR,0,1,1376.1047307088277,1274.8535221833329,1365.3237901323384,1291.0249330480667
1967-05-21,UEFA Euro qualification,POLAND,BELGIUM,3,1,1222.6669203826157,1338.3802667402877,1248.827838182264,1320.9396548738553
1967-05-21,African Cup of Nations qualification,CONGO,CAMEROON,2,1,954.1671370302913,888.8171527992472,969.5535294243664,878.5595578698639
